2024-03-14 23:35:31,251 INFO     Event: created data/client-staging-input-directories\tenant2\taxi_data\taxi-data-0.csv
2024-03-14 23:35:31,252 INFO     New file uploaded: data/client-staging-input-directories\tenant2\taxi_data\taxi-data-0.csv
2024-03-14 23:35:31,253 INFO     Checking config for tenant2 at code\batch_ingestion\batchingestapps\tenant2\config.yaml
2024-03-14 23:35:32,259 INFO     Filesize: 107029978, Max filesize: 367001600
2024-03-14 23:35:32,259 INFO     Executing code\batch_ingestion\batchingestapps\tenant2\batchingestapp.py
2024-03-14 23:35:43,740 INFO     tenant1,data\client-staging-input-directories\tenant1\taxi_data\taxi-data-0.csv,107029978,2024-03-14 23:35:31.251043,2024-03-14 23:35:43.740778,0:00:12.489735,True
2024-03-14 23:35:43,741 INFO     Ingestion of data\client-staging-input-directories\tenant1\taxi_data\taxi-data-0.csv complete in 0:00:12.489735
2024-03-14 23:35:43,741 INFO     Ingestions still running for this tenant: 0
2024-03-14 23:35:43,741 INFO     Ingestion of data\client-staging-input-directories\tenant1\taxi_data\taxi-data-0.csv successful
2024-03-14 23:35:43,742 INFO     Removing data\client-staging-input-directories\tenant1\taxi_data\taxi-data-0.csv.
2024-03-14 23:35:44,894 INFO     tenant2,data\client-staging-input-directories\tenant2\taxi_data\taxi-data-0.csv,107029978,2024-03-14 23:35:32.259337,2024-03-14 23:35:44.894694,0:00:12.635357,True
2024-03-14 23:35:44,894 INFO     Ingestion of data\client-staging-input-directories\tenant2\taxi_data\taxi-data-0.csv complete in 0:00:12.635357
2024-03-14 23:35:44,894 INFO     Ingestions still running for this tenant: 0
2024-03-14 23:35:44,894 INFO     Ingestion of data\client-staging-input-directories\tenant2\taxi_data\taxi-data-0.csv successful
2024-03-14 23:35:44,894 INFO     Removing data\client-staging-input-directories\tenant2\taxi_data\taxi-data-0.csv.
2024-03-14 23:35:49,463 INFO     Event: created data/client-staging-input-directories\tenant1\taxi_data\taxi-data-0.csv
2024-03-14 23:35:49,465 INFO     New file uploaded: data/client-staging-input-directories\tenant1\taxi_data\taxi-data-0.csv
2024-03-14 23:35:49,465 INFO     Checking config for tenant1 at code\batch_ingestion\batchingestapps\tenant1\config.yaml
2024-03-14 23:35:51,470 INFO     Filesize: 107029978, Max filesize: 536870912000
2024-03-14 23:35:51,471 INFO     Executing code\batch_ingestion\batchingestapps\tenant1\batchingestapp.py
2024-03-14 23:35:51,473 INFO     Event: created data/client-staging-input-directories\tenant2\taxi_data\taxi-data-0.csv
2024-03-14 23:35:51,473 INFO     New file uploaded: data/client-staging-input-directories\tenant2\taxi_data\taxi-data-0.csv
2024-03-14 23:35:51,474 INFO     Checking config for tenant2 at code\batch_ingestion\batchingestapps\tenant2\config.yaml
