tenant,file,file_size,ingestion_start_time,ingestion_end_time,ingestion_time,success,concurrent_ingestions
tenant1,data\client-staging-input-directories\tenant1\taxi_data\taxi-data-4.csv,107029978,2024-03-14 23:38:48.572320,2024-03-14 23:39:05.102728,0:00:16.530408,True,8.0
tenant1,data\client-staging-input-directories\tenant1\taxi_data\taxi-data-5.csv,107029978,2024-03-14 23:38:49.578284,2024-03-14 23:39:06.351865,0:00:16.773581,True,8.0
tenant1,data\client-staging-input-directories\tenant1\taxi_data\taxi-data-6.csv,107029978,2024-03-14 23:38:50.584129,2024-03-14 23:39:07.106280,0:00:16.522151,True,8.0
tenant1,data\client-staging-input-directories\tenant1\taxi_data\taxi-data-7.csv,107029978,2024-03-14 23:38:51.594774,2024-03-14 23:39:08.085217,0:00:16.490443,True,8.0
tenant2,data\client-staging-input-directories\tenant2\taxi_data\taxi-data-3.csv,107029978,2024-03-14 23:38:55.632729,2024-03-14 23:39:10.601646,0:00:14.968917,True,8.0
tenant2,data\client-staging-input-directories\tenant2\taxi_data\taxi-data-4.csv,107029978,2024-03-14 23:38:56.655978,2024-03-14 23:39:11.005008,0:00:14.349030,True,8.0
tenant2,data\client-staging-input-directories\tenant2\taxi_data\taxi-data-0.csv,107029978,,,,Too much data in staging directory. Allowed: 512.0 MB. Current: 1224.8608932495117 MB,12.0
tenant2,data\client-staging-input-directories\tenant2\taxi_data\taxi-data-1.csv,107029978,,,,Too much data in staging directory. Allowed: 512.0 MB. Current: 1122.7891521453857 MB,12.0
tenant2,data\client-staging-input-directories\tenant2\taxi_data\taxi-data-2.csv,107029978,,,,Too much data in staging directory. Allowed: 512.0 MB. Current: 1020.7174110412598 MB,12.0
tenant2,data\client-staging-input-directories\tenant2\taxi_data\taxi-data-3.csv,107029978,,,,Too much data in staging directory. Allowed: 512.0 MB. Current: 918.6456699371338 MB,12.0
tenant2,data\client-staging-input-directories\tenant2\taxi_data\taxi-data-4.csv,107029978,,,,Too much data in staging directory. Allowed: 512.0 MB. Current: 816.5739288330078 MB,12.0
tenant2,data\client-staging-input-directories\tenant2\taxi_data\taxi-data-5.csv,107029978,,,,Too much data in staging directory. Allowed: 512.0 MB. Current: 714.5021877288818 MB,12.0
tenant2,data\client-staging-input-directories\tenant2\taxi_data\taxi-data-6.csv,107029978,,,,Too much data in staging directory. Allowed: 512.0 MB. Current: 612.4304466247559 MB,12.0
tenant2,data\client-staging-input-directories\tenant2\taxi_data\taxi-data-9.csv,107029978,,,,Too many concurrent ingestions for tenant2. Max: 2 Current: 2.,12.0
tenant2,data\client-staging-input-directories\tenant2\taxi_data\taxi-data-10.csv,107029978,,,,Too many concurrent ingestions for tenant2. Max: 2 Current: 2.,12.0
tenant2,data\client-staging-input-directories\tenant2\taxi_data\taxi-data-11.csv,107029978,,,,Too many concurrent ingestions for tenant2. Max: 2 Current: 2.,12.0
tenant1,data\client-staging-input-directories\tenant1\taxi_data\taxi-data-3.csv,107029978,2024-03-14 23:39:18.855173,2024-03-14 23:39:46.949648,0:00:28.094475,True,12.0
tenant1,data\client-staging-input-directories\tenant1\taxi_data\taxi-data-1.csv,107029978,2024-03-14 23:39:16.845986,2024-03-14 23:39:49.224846,0:00:32.378860,True,12.0
tenant1,data\client-staging-input-directories\tenant1\taxi_data\taxi-data-4.csv,107029978,2024-03-14 23:39:19.859975,2024-03-14 23:39:49.500631,0:00:29.640656,True,12.0
tenant1,data\client-staging-input-directories\tenant1\taxi_data\taxi-data-0.csv,107029978,2024-03-14 23:39:15.842466,2024-03-14 23:39:49.658709,0:00:33.816243,True,12.0
tenant1,data\client-staging-input-directories\tenant1\taxi_data\taxi-data-2.csv,107029978,2024-03-14 23:39:17.849353,2024-03-14 23:39:49.677721,0:00:31.828368,True,12.0
tenant1,data\client-staging-input-directories\tenant1\taxi_data\taxi-data-7.csv,107029978,2024-03-14 23:39:22.973751,2024-03-14 23:39:52.154853,0:00:29.181102,True,12.0
tenant1,data\client-staging-input-directories\tenant1\taxi_data\taxi-data-8.csv,107029978,2024-03-14 23:39:23.980663,2024-03-14 23:39:53.139979,0:00:29.159316,True,12.0
tenant1,data\client-staging-input-directories\tenant1\taxi_data\taxi-data-5.csv,107029978,2024-03-14 23:39:20.866035,2024-03-14 23:39:53.326110,0:00:32.460075,True,12.0
tenant1,data\client-staging-input-directories\tenant1\taxi_data\taxi-data-6.csv,107029978,2024-03-14 23:39:21.872961,2024-03-14 23:39:53.511223,0:00:31.638262,True,12.0
tenant1,data\client-staging-input-directories\tenant1\taxi_data\taxi-data-11.csv,107029978,2024-03-14 23:39:27.047200,2024-03-14 23:39:54.828611,0:00:27.781411,True,12.0
tenant1,data\client-staging-input-directories\tenant1\taxi_data\taxi-data-9.csv,107029978,2024-03-14 23:39:24.989177,2024-03-14 23:39:54.831608,0:00:29.842431,True,12.0
tenant1,data\client-staging-input-directories\tenant1\taxi_data\taxi-data-10.csv,107029978,2024-03-14 23:39:26.028486,2024-03-14 23:39:55.346707,0:00:29.318221,True,12.0
tenant2,data\client-staging-input-directories\tenant2\taxi_data\taxi-data-7.csv,107029978,2024-03-14 23:39:35.359745,2024-03-14 23:40:02.575767,0:00:27.216022,True,12.0
tenant2,data\client-staging-input-directories\tenant2\taxi_data\taxi-data-8.csv,107029978,2024-03-14 23:39:36.381902,2024-03-14 23:40:03.334857,0:00:26.952955,True,12.0
tenant2,data\client-staging-input-directories\tenant2\taxi_data\taxi-data-0.csv,107029978,,,,Too much data in staging directory. Allowed: 512.0 MB. Current: 1633.1478576660156 MB,16.0
tenant2,data\client-staging-input-directories\tenant2\taxi_data\taxi-data-1.csv,107029978,,,,Too much data in staging directory. Allowed: 512.0 MB. Current: 1531.0761165618896 MB,16.0
tenant2,data\client-staging-input-directories\tenant2\taxi_data\taxi-data-2.csv,107029978,,,,Too much data in staging directory. Allowed: 512.0 MB. Current: 1429.0043754577637 MB,16.0
